850,4250,3000
650,1250,2250
2900,1000,1000
1600,2250,1250
1050,3000,4000
2050,1750,1750
3300,1250,1000
850,1250,2500
800,3750,1000
950,3000,4000
1200,2500,3500
1750,1250,3000
1200,3000,1750
1500,3250,1750
700,3250,2000
1550,2250,1500
300,1250,3000
250,2500,3250
1000,4250,2250
750,2000,1500
150,3250,3250
1300,1500,1500
1000,5000,2000
3000,1250,1000
1150,3500,1500
650,5000,1250
2150,1500,1500
250,3000,2000
1250,2000,3750
1750,2250,2000
650,1250,4500
750,2750,3250
900,2750,5000
1150,2500,1000
1850,2250,1750
500,1000,1750
1200,3250,1500
500,4500,3750
1100,2500,1000
1950,2500,1000
850,2000,3250
150,4750,3000
100,4000,2500
2250,2000,1000
200,5000,1000
700,3500,1000
1300,3000,1250
700,2000,2250
2650,1000,1000
1050,3250,1000
400,1250,3000
1650,1750,2000
500,4250,2500
1200,2750,2750
650,4500,1750
250,1250,1500
150,4000,4250
1350,4250,1250
1750,1000,2000
1800,2750,1250
450,4250,3250
600,4750,1250
200,1250,2250
450,2500,2750
1250,4000,2000
200,1750,1000
750,2000,2000
1250,3500,2000
700,1750,3000
1350,1750,2250
1200,2000,4000
1450,2250,2500
1300,1000,1750
1050,1750,1000
1450,3000,2000
1350,2250,2750
500,3750,5000
800,3500,1000
1350,1750,2000
1000,2000,3750
950,5000,2000
300,2000,1000
1950,2000,1250
1400,3500,1750
700,4500,3750
100,1500,1000
400,4500,2250
1650,1250,1250
750,3500,2250
650,1500,2000
400,3250,3500
850,3000,5000
2300,1500,1250
750,4250,2500
1750,1750,1750
700,3500,1750
850,1250,3250
750,3500,1000
200,1250,4000
1100,1000,2750
800,3750,3250
300,2500,3750
2050,1750,1250
1250,1250,4500
800,3000,2500
450,2000,1000
1500,1750,1750
1000,4750,1250
350,1000,2250
200,2000,4000
750,2000,3250
1400,1250,4000
600,4750,4750
650,1000,2250
100,4750,1750
250,2000,2750
950,3000,4250
600,2250,4000
200,4250,4750
1100,2500,4000
1050,2000,1750
300,2500,1500
2000,1250,1250
100,2000,1000
1450,1250,2500
250,1250,4500
1600,2500,1750
1650,2750,1750
1400,2250,2250
900,2750,1250
100,2750,3500
3000,1000,1500
700,1250,3000
550,1750,4500
100,2000,4750
200,3250,3000
1400,1500,3250
500,4000,1000
800,1000,4500
450,1250,4000
100,1000,4000
150,1250,2000
1200,4000,1000
900,2250,4000
1500,2000,2000
750,1750,4500
200,1500,1000
1050,2750,1000
250,5000,1250
800,2250,3000
350,1500,1500
1500,1500,1250
1700,2750,1750
650,3750,1500
1150,1500,2000
250,2000,4250
1700,2250,2250
850,4000,4750
1000,3000,4500
1750,1250,2000
900,1250,4750
1500,1250,2750
1050,2000,4750
300,3500,1750
500,2250,4500
300,2750,4000
