-787.31,286,3503,2847
-1165.30,2411,4256,3709
723.99,2764,4299,4171
1248.77,670,3617,2893
882.35,209,4374,1415
437.47,283,3944,2790
1777.14,2901,1487,1855
890.29,668,1640,1658
1557.35,909,1121,4375
-1169.35,597,1444,2627
-368.59,2795,4809,3638
-1295.05,2889,1566,4203
801.93,2317,4813,4853
-448.62,1462,1853,2958
170.65,2082,4816,2742
1462.14,2447,1302,3630
-909.26,411,2474,2249
1120.20,2907,4137,3311
84.48,368,4336,1554
1077.15,1982,3973,2140
-357.10,1699,2215,1371
787.28,2852,3016,2840
1443.88,528,2784,3756
1211.22,299,1404,3530
367.08,427,3545,1939
-31.86,1614,1599,4230
1118.86,2264,2629,3281
-44.91,166,4784,1484
1091.50,1062,3754,4361
470.99,1504,1369,2486
-708.98,2944,2184,1009
-188.76,2258,3381,4587
515.85,2646,1252,4398
1342.42,1298,2310,3661
-375.04,1007,1791,2210
-906.39,2613,2379,3928
251.69,2901,3565,3863
558.96,300,4258,4338
357.66,1121,2360,3797
380.41,2626,2095,1994
626.94,1557,3313,2643
-408.79,2516,2210,1275
-29.76,2913,3137,2770
-931.46,2238,3754,2239
1803.03,2570,4648,3481
993.18,1160,1019,1309
451.44,796,4472,1046
1693.71,2347,2999,1338
-75.32,110,2233,2322
-258.45,883,4201,4338
641.88,1653,4459,3276
-20.45,518,2937,4060
838.13,1738,2917,3899
600.95,1737,2594,1652
1083.89,374,2436,4918
321.37,895,3803,1244
-341.29,1235,4516,2231
96.18,2501,3568,2882
-924.66,1688,4094,2508
233.42,2438,4185,4139
732.92,1539,3444,2987
1319.88,909,3531,2527
-86.82,1631,1293,1654
-1179.68,2573,2963,2578
1406.14,2422,4381,4739
1320.13,1192,2301,1203
988.99,813,2490,1947
227.97,563,2475,3390
1210.63,1278,2739,4142
443.97,1153,1817,2320
1801.49,448,2741,4962
-291.88,374,1961,1796
330.72,2904,4216,1400
-130.44,2234,2236,2631
-545.68,1910,1928,4874
660.82,2696,3207,3494
-38.94,1707,1180,3593
345.43,2548,3497,1966
723.14,1021,3654,3366
573.36,1619,2746,2057
75.13,2245,1657,2445
-395.43,1117,3286,4356
-593.86,2346,4369,2547
932.90,2236,4427,3277
17.34,1454,1082,3323
-1222.29,1969,2465,3813
323.81,2763,3919,4708
1561.68,2854,2322,1474
162.29,1126,1655,1477
610.85,2388,3323,1816
759.50,1251,4131,1710
1263.22,1070,3079,2598
-948.45,308,4320,1249
1352.67,2983,4485,2959
1475.28,261,3662,1698
-894.82,1346,1732,1272
1591.62,2391,4624,3711
1628.81,395,1714,2622
627.94,1270,1562,1112
498.51,1418,1429,3962
-482.01,1418,4158,1724
-1133.61,1512,4889,3778
1152.27,2257,4872,4421
1220.29,383,4157,1604
1224.94,497,2291,2994
528.94,249,2444,3271
478.30,2839,1777,1413
-287.93,472,2889,4675
-452.28,2080,2493,4500
471.63,2286,4047,3132
-284.56,885,4692,2232
718.56,1064,4069,4769
1813.06,296,4170,3038
949.18,870,1116,1698
-1242.59,1234,3236,1592
-111.99,2866,3721,4777
-613.35,1247,4111,3891
172.80,1974,4458,3768
1193.35,2161,3334,2175
541.68,360,2622,2998
539.35,2858,1194,1902
570.18,2142,3207,1238
576.68,320,3446,4134
-215.02,1604,4327,1000
139.91,1667,4412,3167
-394.19,1263,4348,2884
516.96,1508,4545,3854
3.75,1487,2338,3297
1347.85,2631,2481,2669
-455.87,1754,1179,1463
82.48,2327,4584,2554
1130.43,641,4668,3846
1765.48,1465,1659,2160
1558.30,695,2105,1198
1580.22,462,2155,2179
113.77,660,2415,1514
974.89,2176,3737,1937
1038.96,680,2698,3011
774.51,590,1687,3951
1171.34,2165,2237,1429
462.89,1641,2042,1359
818.74,1362,2158,3852
1367.63,663,2789,3419
201.54,1209,1451,2105
997.90,2580,1327,3279
912.54,816,3340,2085
241.28,1584,2480,1810
1474.40,2538,2061,2529
294.26,1729,1285,1028
-712.44,1170,3229,3664
-450.78,2998,2954,3701
1219.63,2226,4086,3196
-864.57,675,3313,1699
292.63,2189,3598,4964
803.72,2281,1573,3299
2067.76,778,2953,3103
-253.96,171,1162,2129
26.36,2448,3509,2772
-572.58,2481,4128,1283
-16.88,2288,3578,3938
437.93,1821,4246,2464
-761.38,1401,1003,4968
-947.72,1980,4649,4015
1004.19,2873,4898,2754
270.59,683,3337,2304
-15.78,1630,4729,1480
744.65,911,3369,4911
913.85,2126,1747,2058
15.94,1779,1476,2427
269.13,2255,2956,2840
-1014.62,2392,1469,3273
-130.61,2277,4509,4380
1163.54,2176,4763,1679
-500.76,1836,1708,1359
544.65,1752,4265,4010
108.34,662,3209,3834
208.83,2823,3411,1124
1741.61,1625,3381,2969
1334.04,110,2876,1561
655.68,503,1893,3027
-166.67,1057,2860,3141
869.84,1053,4458,4063
-104.30,274,4121,2673
158.98,1414,4859,2854
723.10,1282,4851,2310
-757.98,1322,1173,4094
2103.09,2514,3460,4205
116.80,289,1336,1648
838.67,1528,4221,2607
545.18,2359,1896,1223
-62.81,1270,3814,2177
-569.47,1944,2282,4272
-550.69,2186,4048,3657
861.97,2284,2778,4649
952.95,100,3219,3871
760.43,519,2990,3080
582.30,987,2850,2962
-432.00,1906,1034,3616
-9.23,2078,2882,4559
98.67,2234,1344,4502
1189.60,837,3355,4714
-703.31,1191,2710,1457
261.32,1574,4755,4457
296.58,936,4722,2740
-278.79,237,4013,4551
-633.67,2753,2954,2841
-3.19,2848,1706,4931
227.25,1876,3336,3201
-974.43,1699,2670,3467
-141.78,2128,4241,4781
867.24,2797,4073,1279
561.73,1513,1380,3128
-721.66,1832,3395,1538
-659.20,2136,4257,3998
498.61,2025,4183,4079
541.27,756,2684,4310
430.24,1109,4074,2223
-59.48,1157,4536,2025
-300.80,2799,2538,2506
-251.42,2406,3384,3106
623.73,2057,3147,3803
1464.77,2030,2759,1615
-184.23,315,1236,3601
-1176.70,1989,1855,4965
313.57,2538,4063,4831
807.60,1046,2154,4859
1672.14,2323,1735,1534
126.65,776,1789,1637
1622.09,1210,2295,4991
900.28,912,1529,1796
-581.44,462,3025,3304
1074.29,2607,3836,3153
-31.35,268,2015,4099
1553.97,1940,2638,3843
213.56,1365,1450,1275
742.20,584,4021,4178
-487.99,1516,1109,3756
-133.75,2532,2334,4451
