H1,H2,PFR1,PFR2
1750,155,3250,1000
2550,155,1000,2000
2550,155,1250,1750
700,160,5000,4500
700,160,4750,4750
700,160,4500,5000
750,160,5000,4000
750,160,4750,4250
750,160,4500,4500
750,160,4250,4750
750,160,4000,5000
900,160,4000,3750
900,160,4250,3500
900,160,4500,3250
900,160,4750,3000
900,160,3750,4000
900,160,3500,4250
900,160,3250,4500
900,160,3000,4750
900,160,2750,5000
1150,160,2250,4000
1150,160,2250,4000
1150,160,2000,4250
1150,160,1750,4500
1200,160,3250,2750
1200,160,3500,2500
1200,160,3750,2250
1200,160,4000,2000
1200,160,4250,1750
1200,160,4500,1500
1200,160,4750,1250
1200,160,5000,1000
1550,160,1500,3250
1550,160,1750,3000
1550,160,2500,2250
1550,160,2750,2000
1550,160,3000,1750
1550,160,3250,1500
1550,160,3500,1250
1550,160,3750,1000
1650,160,1000,3500
1650,160,1250,3250
1650,160,1500,3000
1650,160,1750,2750
2000,160,1750,2000
2000,160,2000,1750
2000,160,2250,1500
2000,160,2500,1250
2000,160,2750,1000
800,165,4750,3750
800,165,5000,3500
800,165,4500,4000
800,165,4250,4250
800,165,4000,4500
800,165,3750,4750
800,165,3500,5000
1000,165,4500,2500
1000,165,4750,2250
1000,165,5000,2000
1200,165,2000,4000
1200,165,2250,3750
1200,165,2500,3500
1200,165,2750,3250
1200,165,3000,3000
1200,165,2000,4000
1200,165,1750,4250
1200,165,1500,4500
1200,165,1000,5000
1550,165,1000,3750
1550,165,1250,3500
1550,165,2000,2750
1550,165,2250,2500
2000,165,1500,2250
2150,165,1000,2500
2150,165,1250,2250
2150,165,1500,2000
2150,165,1750,1750
2150,165,2000,1500
2150,165,2250,1250
2150,165,2500,1000
1000,170,3000,4000
1000,170,3250,3750
1000,170,3500,3500
1000,170,3750,3250
1000,170,4000,3000
1000,170,4250,2750
1000,170,3000,4000
1000,170,2750,4250
1250,170,2750,3000
1250,170,3000,2750
1250,170,3250,2500
1250,170,3500,2250
1250,170,3750,2000
1250,170,4000,1750
1250,170,4250,1500
1250,170,4500,1250
1250,170,4750,1000
1450,170,1250,3750
1450,170,1500,3500
1450,170,1750,3250
1450,170,2000,3000
1450,170,2250,2750
1450,170,2500,2500
1450,170,2750,2250
1450,170,3000,2000
1450,170,3250,1750
1450,170,3500,1500
1450,170,3750,1250
1450,170,4000,1000
2000,170,1000,2750
2000,170,1250,2500
850,175,4250,3750
850,175,4500,3500
850,175,4750,3250
850,175,5000,3000
850,175,4000,4000
850,175,3750,4250
850,175,3500,4500
1000,175,2500,4500
1000,175,2250,4750
1000,175,2000,5000
1250,175,1750,4000
1250,175,2000,3750
1250,175,2250,3500
1250,175,2500,3250
1250,175,1750,4000
1250,175,1000,4750
1450,175,1000,4000
1450,175,1000,4000
1850,175,1000,3000
1850,175,1250,2750
1850,175,1500,2500
1850,175,1750,2250
1850,175,2000,2000
1850,175,2250,1750
1850,175,2500,1500
1850,175,2750,1250
1850,175,3000,1000
750,180,5000,3750
750,180,4750,4000
750,180,4500,4250
750,180,4250,4500
750,180,4000,4750
750,180,3750,5000
850,180,3250,4750
850,180,3000,5000
950,180,4500,2750
950,180,4750,2500
950,180,5000,2250
650,185,5000,5000
950,185,3250,4000
950,185,3500,3750
950,185,3750,3500
950,185,4000,3250
950,185,4250,3000
950,185,3250,4000
950,185,3000,4250
1300,185,2250,3250
1300,185,2500,3000
1300,185,2750,2750
1300,185,3000,2500
1300,185,3250,2250
1300,185,3500,2000
1300,185,3750,1750
1300,185,4000,1500
1300,185,4250,1250
1300,185,4500,1000
800,190,4500,3750
800,190,4750,3500
800,190,5000,3250
800,190,4250,4000
800,190,4000,4250
800,190,3750,4500
800,190,3500,4750
800,190,3250,5000
950,190,2750,4500
950,190,2500,4750
950,190,2250,5000
1300,190,1750,3750
1300,190,2000,3500
1300,190,1250,4250
1300,190,1000,4500
2300,190,2000,1250
2300,190,2250,1000
700,195,5000,4250
700,195,4750,4500
700,195,4500,4750
700,195,4250,5000
2300,195,1000,2250
2300,195,1250,2000
2300,195,1500,1750
2300,195,1750,1500
2750,195,1250,1500
2750,195,1500,1250
2750,195,1750,1000
900,200,3750,3750
900,200,4000,3500
900,200,4250,3250
900,200,4500,3000
900,200,4750,2750
900,200,5000,2500
900,200,3500,4000
900,200,3250,4250
900,200,3000,4500
900,200,2750,4750
900,200,2500,5000
1100,200,5000,1250
1150,200,2750,3250
1150,200,3000,3000
1150,200,3250,2750
1150,200,3500,2500
1150,200,3750,2250
1150,200,4000,2000
1150,200,4250,1750
1150,200,4500,1500
1150,200,4750,1250
1150,200,5000,1000
1600,200,2250,2250
1600,200,3000,1500
1600,200,3250,1250
2500,200,1500,1500
2750,200,1000,1750
1100,205,4000,2250
1100,205,4250,2000
1100,205,4500,1750
1100,205,4750,1500
1150,205,2000,4000
1150,205,2250,3750
1150,205,2500,3500
1150,205,2000,4000
1350,205,2750,2500
1350,205,3000,2250
1350,205,3250,2000
1350,205,3500,1750
1350,205,3750,1500
1350,205,4000,1250
1350,205,4250,1000
1500,205,3500,1250
1500,205,3750,1000
1600,205,1000,3500
1600,205,1250,3250
1600,205,1500,3000
1600,205,1750,2750
1600,205,2000,2500
1600,205,2500,2000
1600,205,2750,1750
1600,205,3500,1000
1950,205,2750,1000
2500,205,1000,2000
2500,205,1250,1750
2500,205,1750,1250
2500,205,2000,1000
850,210,4000,3750
850,210,4250,3500
850,210,4500,3250
850,210,4750,3000
850,210,5000,2750
850,210,3750,4000
