1230,100,3500,2750
1190,300,1750,4000
1330,400,2000,3000
985,1950,1750,1250
590,600,3250,4250
1000,950,1250,3250
1040,600,1000,4500
795,1700,1500,2000
450,1050,2500,3500
390,1450,2500,2250
1315,750,2250,2000
560,850,4750,1750
365,800,4250,3500
1210,450,2000,3250
205,850,4250,4000
185,1400,1000,4250
2185,1300,1500,1000
385,1050,3250,3000
1955,300,1750,2000
415,2200,2000,1250
1040,1150,1750,2250
645,1150,2250,2750
955,950,3000,1750
730,1000,1000,4250
1345,300,2000,3250
315,1800,1750,2250
200,1000,2000,5000
685,1200,3500,1250
590,600,3000,4500
135,1250,3750,2250
1185,350,1250,4500
530,1050,3000,2750
500,950,2250,4000
610,850,4000,2250
1225,1100,2250,1500
795,850,2000,3500
310,650,4750,4500
845,900,3750,1500
1115,850,3000,1500
285,1300,3750,1750
1705,450,2750,1250
1190,300,1250,4500
2220,900,1750,1000
1005,500,2250,3750
335,1400,2000,3000
1675,200,1750,2750
335,750,4000,4250
380,1150,1500,4250
220,2750,1000,1750
805,400,4500,3000
165,950,4250,3250
1390,550,3250,1250
775,1300,2250,2000
555,850,4250,2250
1200,300,4750,1000
785,300,4250,4000
450,950,4000,2500
740,800,5000,1000
900,500,2250,4250
720,300,4000,4750
985,600,4750,1000
295,1350,1750,3500
405,950,5000,1750
470,1100,3500,2250
1475,1400,1250,1750
1675,200,2250,2250
210,1000,3750,3250
245,1200,3750,2250
2050,600,2250,1000
1035,450,2250,3750
785,2350,1250,1500
550,500,4000,4750
400,1200,3250,2250
1180,1000,3000,1000
485,1150,3750,1750
1085,1450,2500,1000
590,1000,4500,1250
555,600,5000,2750
790,700,2000,4000
1865,2450,1000,1000
810,1000,1500,3500
2085,350,1250,2250
1130,400,1500,4250
1215,400,3250,2250
1185,350,1500,4250
1480,700,2500,1500
905,200,5000,3000
1905,150,1000,3000
1430,500,1750,2750
1745,1150,1000,2000
540,1400,2000,2500
390,950,3250,3500
305,1350,3500,1750
1300,650,2250,2250
2150,700,1750,1250
900,200,4250,3750
2235,350,1750,1500
1190,300,1500,4250
1275,1650,1500,1500
955,1250,2000,2000
1905,1250,1500,1250
340,750,4750,3500
1630,1800,1000,1500
1200,300,3000,2750
450,1050,2250,3750
1185,700,1500,3250
320,800,3000,5000
950,300,4000,3250
1665,1300,2000,1000
1875,200,1000,3000
1525,300,2750,2000
2320,250,2250,1000
1160,300,4750,1250
900,200,4000,4000
1300,150,1250,4500
1180,100,1500,5000
1245,600,2250,2500
770,600,3250,3250
550,800,3250,3500
1190,700,2500,2250
350,1300,2000,3250
620,900,2250,3750
735,850,1500,4250
920,650,4500,1250
1395,100,1500,4000
995,900,3000,1750
470,2600,1250,1500
1610,300,1500,3000
1030,1500,2000,1500
965,350,2000,4750
300,1500,1000,3750
1690,500,2500,1500
845,1350,2750,1250
125,2200,2250,1250
445,900,3500,3250
480,3200,1250,1000
1625,100,1750,3000
1440,600,2500,1750
805,500,5000,2000
925,1150,1500,2750
1020,500,5000,1000
290,900,2500,5000
935,200,3250,4500
1810,300,1500,2500
150,1100,3250,3500
775,450,3000,4250
1385,350,2500,2500
400,800,3000,4500
2980,350,1500,1000
900,450,5000,1750
410,800,4750,2750
775,500,2500,4500
1155,750,3500,1250
1640,400,2500,1750
1235,1100,2750,1000
395,900,4000,3000
1820,300,1000,3000
130,1200,4250,2000
1130,950,1250,3000
840,1650,1500,2000
1020,1050,1250,3000
565,2300,2000,1000
710,400,4250,3750
605,800,3250,3250
1070,1600,1250,2000
770,900,3250,2250
365,1900,2500,1250
475,1700,1250,2750
735,350,5000,3250
2690,700,1000,1500
1410,1500,2000,1000
940,650,2000,3750
290,1350,1250,4000
500,750,3000,4250
895,1600,1750,1750
1330,400,1750,3250
1300,450,1000,4000
1030,1150,1250,2750
1055,450,3750,2250
1775,1450,1750,1000
1695,300,1500,2750
765,200,4250,5000
1350,1300,2250,1000
1040,350,3000,3500
190,750,4250,5000
605,550,5000,2750
785,2650,1000,1500
1440,300,2000,3000
2845,100,1000,1750
705,550,2000,5000
345,650,4750,4250
515,600,4250,3750
565,1150,3500,1750
975,1500,1250,2250
775,450,2750,4500
775,450,4000,3250
410,2400,2000,1000
1115,150,5000,1750
1230,100,1250,5000
500,1800,2250,1500
2015,1450,1500,1000
700,750,2250,4000
725,500,4500,2750
755,700,3250,3000
2075,100,2250,1500
690,1650,2000,1750
820,750,2500,3250
1975,450,2000,1500
2075,100,1500,2250
2215,400,1250,2000
105,1600,1250,3500
625,450,3750,4750
1355,700,2500,1750
435,850,2000,5000
3315,350,1250,1000
980,300,5000,2000
950,150,4000,3750
1240,1400,1000,2250
600,450,3750,5000
995,100,4500,3250
990,900,2750,2000
1310,150,4250,1500
220,1200,4750,1250
1230,750,1250,3250
985,400,3000,3500
990,150,4000,3500
905,1400,1500,2250
400,1150,3750,2000
1350,1300,1500,1750
1920,350,1000,2750
195,1250,1750,4000
1635,400,1000,3250
1670,500,1750,2250
600,450,4750,4000
1815,900,1500,1750
730,600,4000,2750
780,1200,2250,2250
590,2500,1250,1500
1175,600,3500,1500
2045,1150,1000,1750
3620,550,1000,1000
920,900,3500,1500
240,1350,2000,3250
160,950,2500,5000
730,1000,2500,2750
475,1150,3250,2250
1055,1150,3000,1000
905,600,3250,2750
1560,2750,1000,1000
300,1350,3250,2000
1405,650,2000,2250
130,1200,4500,1750
1420,300,3000,2000
600,550,4250,3500
1040,1000,1250,3000
1105,700,1000,4000
545,1100,2250,3250
395,950,4250,2500
960,100,3750,4250
1400,650,1250,3000
545,700,3000,4250
1370,950,1000,2750
495,1450,2750,1750
380,1350,2000,3000
530,1050,2750,3000
850,1050,1000,3750
600,500,3250,5000
1160,150,2750,3750
1025,1650,1500,1750
1125,1350,1500,2000
1145,550,2000,3250
800,850,1250,4250
830,550,2500,4000
1470,250,3250,1750
1375,450,2250,2500
900,750,4500,1000
990,300,2750,4250
990,300,3000,4000
480,1700,1750,2250
2265,300,1000,2250
1725,100,3000,1500
475,2150,1250,2000
440,1050,1250,4750
3425,200,1000,1250
1260,700,1250,3250
1310,900,3000,1000
1350,300,1250,4000
740,2400,1750,1000
1380,550,2250,2250
340,900,2250,5000
720,950,3250,2250
600,1050,2750,2750
580,1000,2250,3500
1230,350,2000,3500
455,950,4500,2000
735,1150,2000,2750
755,1050,2000,3000
1940,750,2000,1250
220,1300,2500,3000
1345,200,1250,4250
525,600,4750,3250
290,1100,1750,4500
1550,100,1750,3250
1210,1500,1750,1500
855,500,5000,1750
660,2200,1250,1750
1245,500,2000,3000
1300,200,4000,1750
2165,200,2000,1500
785,300,3250,5000
390,600,4750,4500
